t,x1,x2,x3,r1,r2,r3
-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.997997997997998,0.0,0.0,0.0,1.0,0.9999999999999999,0.9999999999999999
-0.995995995995996,0.0,0.0,0.0,2.0,1.984292496751928,1.6195136689491825
-0.993993993993994,0.0,0.0,-0.0,2.9999999999999996,2.9376664863449666,1.6276087141496116
-0.991991991991992,0.0,0.0,0.0,4.0,3.8456354069866023,1.026028164635339
-0.98998998998999,0.0,0.0,0.0,5.000000000000001,4.694646416894111,0.04314451847460998
-0.987987987987988,0.0,0.0,0.0,6.0,5.4722683442791045,0.955601712985293
-0.985985985985986,0.0,0.0,0.0,7.0,6.167356118713335,1.6047127172994693
-0.983983983983984,0.0,0.0,-0.0,8.0,6.770189977760559,1.671397984003978
-0.9819819819819819,0.0,0.0,0.0,9.0,7.272588230583158,1.1363242871311894
-0.97997997997998,0.0,0.0,0.0,9.999999999999998,7.6679928427438275,0.1954576732503983
-0.977977977977978,0.0,0.0,0.0,11.0,7.951527575724748,0.8145652862905393
-0.975975975975976,0.0,0.0,0.0,12.000000000000002,8.120028863621343,1.5382234623073288
-0.973973973973974,-0.0,-0.0,-0.0,12.999999999999998,8.172050031693704,1.7256108224442663
-0.9719719719719719,-0.0,-0.0,0.0,14.0,8.107839851505467,1.3163663298758024
-0.96996996996997,-0.0,-0.0,0.0,15.0,7.929296780684568,0.4557830069567066
-0.967967967967968,-0.0,-0.0,0.0,16.0,7.639900548263321,0.5596811849968182
-0.965965965965966,-0.0,-0.0,0.0,17.0,7.24462301637859,1.3862100850011103
-0.963963963963964,-0.0,-0.0,-0.0,18.0,6.749820474022434,1.7489223301245715
-0.9619619619619619,-0.0,-0.0,-0.0,19.000000000000004,6.163109697585952,1.531439429582805
-0.95995995995996,-0.0,0.0,0.0,20.0,5.493230246015657,0.8102584459287674
-0.957957957957958,-0.0,0.0,0.0,21.000000000000004,4.749895546151892,0.17505634427340677
-0.955955955955956,-0.0,0.0,0.0,22.0,3.9436353675945175,1.103543127952368
-0.953953953953954,-0.0,0.0,0.0,22.999999999999996,3.0856322882214497,1.6779430394357702
-0.9519519519519519,-0.0,0.0,-0.0,24.0,2.1875547138013234,1.7187191716470993
