x,y
2.9951990398079618,2.0866173234646928
2.9951990398079618,2.0866173234646928
2.991598319663933,2.0842168433686736
2.987997599519904,2.0818163632726545
2.984396879375875,2.0794158831766354
2.9675935187037408,2.0686137227445487
2.963992798559712,2.0662132426485296
2.960392078415683,2.0638127625525104
2.9567913582716545,2.0614122824564913
2.9531906381276256,2.059011802360472
2.936387277455491,2.0482096419283855
2.9327865573114624,2.0458091618323664
2.9291858371674335,2.0434086817363473
2.9255851170234046,2.041008201640328
2.9219843968793757,2.038607721544309
2.9051810362072414,2.0278055611122223
2.9015803160632125,2.025405081016203
2.8979795959191836,2.023004600920184
2.894378875775155,2.020604120824165
2.8907781556311263,2.018203640728146
2.8871774354870974,2.0158031606321263
2.8631726345269053,2.000200040008002
2.8595719143828764,1.9977995599119824
2.855971194238848,1.995399079815963
2.852370474094819,1.992998599719944
2.84876975395079,1.9905981196239249
2.8451690338067612,1.9881976395279055
2.8415683136627323,1.9857971594318864
2.813962792558512,1.9677935587117423
2.810362072414483,1.9653930786157232
2.806761352270454,1.9629925985197039
2.803160632126425,1.9605921184236847
2.7995599119823966,1.9581916383276656
2.7959591918383677,1.9557911582316463
2.792358471694339,1.9533906781356272
2.78875775155031,1.9509901980396078
2.7851570314062815,1.9485897179435887
2.7815563112622526,1.9461892378475696
2.7779555911182237,1.9437887577515502
2.6339267853570716,1.8477695539107821
2.6303260652130427,1.845369073814763
2.626725345069014,1.8429685937187437
2.623124624924985,1.8405681136227245
2.619523904780956,1.8381676335267054
2.6159231846369275,1.835767153430686
2.6123224644928986,1.833366673334667
2.6087217443488697,1.8309661932386476
2.605121024204841,1.8285657131426285
2.5751150230046007,1.8081616323264653
2.5715143028605723,1.805761152230446
2.5679135827165434,1.8033606721344269
2.5643128625725145,1.8009601920384077
2.5607121424284855,1.7985597119423884
2.557111422284457,1.7961592318463693
2.5379075815163032,1.7829565913182637
2.5343068613722743,1.7805561112222446
2.5307061412282454,1.7781556311262252
2.527105421084217,1.775755151030206
2.523504700940188,1.7733546709341867
2.5043008601720342,1.7601520304060811
2.500700140028006,1.757751550310062
2.497099419883977,1.755351070214043
2.481496299259852,1.7445489097819564
2.477895579115823,1.742148429685937
2.4742948589717946,1.739747949589918
2.4586917383476696,1.7289457891578315
2.4550910182036407,1.7265453090618124
2.451490298059612,1.7241448289657932
2.435887177435487,1.7133426685337068
2.4322864572914584,1.7109421884376876
2.4166833366673335,1.7001400280056012
2.4130826165233046,1.6977395479095818
2.4010802160432085,1.6893378675735147
2.3974794958991796,1.6869373874774956
2.385477095419084,1.6785357071414282
2.381876375275055,1.676135227045409
2.369873974794959,1.667733546709342
2.36627325465093,1.6653330666133226
2.354270854170834,1.6569313862772554
2.342268453690738,1.6485297059411883
2.338667733546709,1.646129225845169
2.330266053210642,1.640128025605121
2.326665333066613,1.6377275455091018
2.314662932586517,1.6293258651730347
2.302660532106421,1.6209241848369673
2.294258851770354,1.6149229845969193
2.2906581316263255,1.6125225045009002
2.282256451290258,1.6065213042608522
2.2786557311462294,1.604120824164833
2.270254050810162,1.598119623924785
2.2618523704740947,1.592118423684737
2.258251650330066,1.5897179435887177
2.2498499699939987,1.5837167433486696
2.2414482896579315,1.5777155431086216
2.2294458891778355,1.5693138627725545
2.2210442088417683,1.5633126625325064
2.212642528505701,1.5573114622924584
2.204240848169634,1.5513102620524104
2.195839167833567,1.5453090618123624
2.1874374874974993,1.5393078615723144
2.179035807161432,1.5333066613322663
2.170634126825365,1.5273054610922185
2.162232446489298,1.5213042608521705
2.1574314862972597,1.5177035407081416
2.149029805961192,1.5117023404680936
2.140628125625125,1.5057011402280456
2.1274254850970196,1.4960992198439689
2.119023804760952,1.4900980196039209
